participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.settled_assets,player.available_assets,player.settled_cash,player.available_cash,group.id_in_subsession,group.ran_ready_function,subsession.round_number,subsession.period_length,subsession.num_assets,subsession.num_states,subsession.asset_endowments,subsession.cash_endowment,subsession.practice,subsession.x,subsession.G,subsession.L,subsession.p1,subsession.p2,subsession.p3,subsession.state_independent,subsession.state_a,subsession.state_b,subsession.salient_payoff,subsession.final_selected_round,subsession.num_rounds,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,g8h9zx8w,leeps_1,0,48,600,salience_market,FinalResults,2022-10-25 02:00:27.832958+00:00,1,,,11721,3,,1485,"{'A': 0, 'B': 3}","{'A': 0, 'B': 2}",1125,985,1,2022-10-25 02:12:56.888267+00:00,1,240,2,2,0 4,1000,1,100,80,20,0.2,0,0.8,0,3,3,0,-1,8,iyox743l,,,,,0
2,txuh2fp3,leeps_3,0,48,600,salience_market,FinalResults,2022-10-25 02:00:32.077568+00:00,1,,,11458,4,,1370,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1370,1370,1,2022-10-25 02:12:56.888267+00:00,1,240,2,2,0 4,1000,1,100,80,20,0.2,0,0.8,0,3,3,0,-1,8,iyox743l,,,,,0
3,g8u7untb,leeps_4,0,48,600,salience_market,FinalResults,2022-10-25 02:00:37.559585+00:00,1,,,11594,6,,1475,"{'A': 0, 'B': 1}","{'A': 0, 'B': 1}",1355,1355,1,2022-10-25 02:12:56.888267+00:00,1,240,2,2,0 4,1000,1,100,80,20,0.2,0,0.8,0,3,3,0,-1,8,iyox743l,,,,,0
4,ob0inpdo,leeps_6,0,48,600,salience_market,FinalResults,2022-10-25 02:00:42.551931+00:00,1,,,11579,5,,1480,"{'A': 0, 'B': 4}","{'A': 0, 'B': 0}",1000,350,1,2022-10-25 02:12:56.888267+00:00,1,240,2,2,0 4,1000,1,100,80,20,0.2,0,0.8,0,3,3,0,-1,8,iyox743l,,,,,0
5,0qb53zxz,leeps_2,0,48,600,salience_market,FinalResults,2022-10-25 02:01:02.466214+00:00,1,,,11904,7,,1480,"{'A': 0, 'B': 4}","{'A': 0, 'B': 3}",1000,940,1,2022-10-25 02:12:56.888267+00:00,1,240,2,2,0 4,1000,1,100,80,20,0.2,0,0.8,0,3,3,0,-1,8,iyox743l,,,,,0
6,msddi0zb,leeps_5,0,48,600,salience_market,FinalResults,2022-10-25 02:01:02.875150+00:00,1,,,12560,1,,1580,"{'A': 0, 'B': 13}","{'A': 0, 'B': 13}",20,20,1,2022-10-25 02:12:56.888267+00:00,1,240,2,2,0 4,1000,1,100,80,20,0.2,0,0.8,0,3,3,0,-1,8,iyox743l,,,,,0
7,xv7fbzlt,leeps_7,0,48,600,salience_market,FinalResults,2022-10-25 02:01:42.838392+00:00,1,,,11694,8,,1460,"{'A': 0, 'B': 3}","{'A': 0, 'B': 3}",1100,1100,1,2022-10-25 02:12:56.888267+00:00,1,240,2,2,0 4,1000,1,100,80,20,0.2,0,0.8,0,3,3,0,-1,8,iyox743l,,,,,0
8,pdn7tzjz,leeps_8,0,48,600,salience_market,FinalResults,2022-10-25 02:02:21.637288+00:00,1,,,12207,2,,1510,"{'A': 0, 'B': 4}","{'A': 0, 'B': 4}",1030,1030,1,2022-10-25 02:12:56.888267+00:00,1,240,2,2,0 4,1000,1,100,80,20,0.2,0,0.8,0,3,3,0,-1,8,iyox743l,,,,,0
1,g8h9zx8w,leeps_1,0,48,600,salience_market,FinalResults,2022-10-25 02:00:27.832958+00:00,1,,,11721,4,,1441,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1441,1161,1,2022-10-25 02:17:20.552132+00:00,2,240,2,2,0 4,1000,0,100,80,20,0.2,0,0.8,0,3,3,0,-1,8,iyox743l,,,,,0
2,txuh2fp3,leeps_3,0,48,600,salience_market,FinalResults,2022-10-25 02:00:32.077568+00:00,1,,,11458,3,,1431,"{'A': 0, 'B': 1}","{'A': 0, 'B': 1}",1311,1311,1,2022-10-25 02:17:20.552132+00:00,2,240,2,2,0 4,1000,0,100,80,20,0.2,0,0.8,0,3,3,0,-1,8,iyox743l,,,,,0
