participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.settled_assets,player.available_assets,player.settled_cash,player.available_cash,group.id_in_subsession,group.ran_ready_function,subsession.round_number,subsession.period_length,subsession.num_assets,subsession.num_states,subsession.asset_endowments,subsession.cash_endowment,subsession.practice,subsession.x,subsession.G,subsession.L,subsession.p1,subsession.p2,subsession.p3,subsession.state,subsession.final_selected_round,subsession.num_rounds,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,y0toi78l,leeps_6,0,48,600,salience_market,FinalResults,2022-09-03 01:59:08.849080+00:00,1,,,11132,3,,1310,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1310,1212,1,2022-09-03 02:16:35.345735+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
2,bixvhvud,leeps_8,0,48,600,salience_market,FinalResults,2022-09-03 01:59:12.096038+00:00,1,,,11060,1,,1450,"{'A': 3, 'B': 3}","{'A': 3, 'B': 2}",850,849,1,2022-09-03 02:16:35.345735+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
3,xhmofnk9,leeps_7,0,48,600,salience_market,FinalResults,2022-09-03 01:59:17.037553+00:00,1,,,11335,8,,1505,"{'A': 3, 'B': 2}","{'A': 3, 'B': 1}",925,875,1,2022-09-03 02:16:35.345735+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
4,r0fkpe3n,leeps_1,0,48,600,salience_market,FinalResults,2022-09-03 01:59:25.201581+00:00,1,,,10698,7,,1310,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1310,1170,1,2022-09-03 02:16:35.345735+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
5,62nui3lo,leeps_2,0,48,600,salience_market,FinalResults,2022-09-03 01:59:44.615647+00:00,1,,,12024,4,,1585,"{'A': 3, 'B': 2}","{'A': 2, 'B': 2}",1005,655,1,2022-09-03 02:16:35.345735+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
6,1mmds1y8,leeps_5,0,48,600,salience_market,FinalResults,2022-09-03 02:01:51.176754+00:00,1,,,11188,2,,1500,"{'A': 3, 'B': 2}","{'A': 2, 'B': 1}",920,845,1,2022-09-03 02:16:35.345735+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
7,l0a5c6pi,leeps_4,0,48,600,salience_market,FinalResults,2022-09-03 02:02:25.776860+00:00,1,,,10789,5,,1090,"{'A': 2, 'B': 6}","{'A': 2, 'B': 6}",610,610,1,2022-09-03 02:16:35.345735+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
8,7lt45fmp,leeps_3,0,48,600,salience_market,FinalResults,2022-09-03 02:06:05.093246+00:00,1,,,11374,6,,1450,"{'A': 2, 'B': 1}","{'A': 1, 'B': 1}",1070,1025,1,2022-09-03 02:16:35.345735+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
1,y0toi78l,leeps_6,0,48,600,salience_market,FinalResults,2022-09-03 01:59:08.849080+00:00,1,,,11132,8,,1288,"{'A': 4, 'B': 0}","{'A': 3, 'B': 0}",968,781,1,2022-09-03 02:20:58.269911+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
2,bixvhvud,leeps_8,0,48,600,salience_market,FinalResults,2022-09-03 01:59:12.096038+00:00,1,,,11060,2,,1420,"{'A': 2, 'B': 2}","{'A': 1, 'B': 2}",1020,1020,1,2022-09-03 02:20:58.269911+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
3,xhmofnk9,leeps_7,0,48,600,salience_market,FinalResults,2022-09-03 01:59:17.037553+00:00,1,,,11335,3,,1400,"{'A': 2, 'B': 2}","{'A': 2, 'B': 1}",1000,871,1,2022-09-03 02:20:58.269911+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
4,r0fkpe3n,leeps_1,0,48,600,salience_market,FinalResults,2022-09-03 01:59:25.201581+00:00,1,,,10698,6,,1357,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1357,1357,1,2022-09-03 02:20:58.269911+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
5,62nui3lo,leeps_2,0,48,600,salience_market,FinalResults,2022-09-03 01:59:44.615647+00:00,1,,,12024,5,,1450,"{'A': 0, 'B': 2}","{'A': 0, 'B': 0}",1210,780,1,2022-09-03 02:20:58.269911+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
6,1mmds1y8,leeps_5,0,48,600,salience_market,FinalResults,2022-09-03 02:01:51.176754+00:00,1,,,11188,1,,1355,"{'A': 3, 'B': 2}","{'A': 3, 'B': 2}",875,795,1,2022-09-03 02:20:58.269911+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
7,l0a5c6pi,leeps_4,0,48,600,salience_market,FinalResults,2022-09-03 02:02:25.776860+00:00,1,,,10789,7,,1520,"{'A': 4, 'B': 7}","{'A': 4, 'B': 7}",360,360,1,2022-09-03 02:20:58.269911+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
8,7lt45fmp,leeps_3,0,48,600,salience_market,FinalResults,2022-09-03 02:06:05.093246+00:00,1,,,11374,4,,1410,"{'A': 1, 'B': 1}","{'A': 1, 'B': 0}",1210,1210,1,2022-09-03 02:20:58.269911+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
1,y0toi78l,leeps_6,0,48,600,salience_market,FinalResults,2022-09-03 01:59:08.849080+00:00,1,,,11132,4,,1358,"{'A': 2, 'B': 1}","{'A': 1, 'B': 1}",1078,1078,1,2022-09-03 02:25:32.968380+00:00,5,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
2,bixvhvud,leeps_8,0,48,600,salience_market,FinalResults,2022-09-03 01:59:12.096038+00:00,1,,,11060,2,,1375,"{'A': 2, 'B': 1}","{'A': 2, 'B': 1}",1095,990,1,2022-09-03 02:25:32.968380+00:00,5,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
3,xhmofnk9,leeps_7,0,48,600,salience_market,FinalResults,2022-09-03 01:59:17.037553+00:00,1,,,11335,3,,1405,"{'A': 3, 'B': 2}","{'A': 3, 'B': 1}",925,925,1,2022-09-03 02:25:32.968380+00:00,5,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
4,r0fkpe3n,leeps_1,0,48,600,salience_market,FinalResults,2022-09-03 01:59:25.201581+00:00,1,,,10698,6,,1307,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1307,1157,1,2022-09-03 02:25:32.968380+00:00,5,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
5,62nui3lo,leeps_2,0,48,600,salience_market,FinalResults,2022-09-03 01:59:44.615647+00:00,1,,,12024,1,,1555,"{'A': 0, 'B': 2}","{'A': 0, 'B': 1}",1315,810,1,2022-09-03 02:25:32.968380+00:00,5,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
6,1mmds1y8,leeps_5,0,48,600,salience_market,FinalResults,2022-09-03 02:01:51.176754+00:00,1,,,11188,8,,1430,"{'A': 1, 'B': 2}","{'A': 1, 'B': 2}",1110,1110,1,2022-09-03 02:25:32.968380+00:00,5,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
7,l0a5c6pi,leeps_4,0,48,600,salience_market,FinalResults,2022-09-03 02:02:25.776860+00:00,1,,,10789,7,,1418,"{'A': 6, 'B': 7}","{'A': 6, 'B': 7}",98,98,1,2022-09-03 02:25:32.968380+00:00,5,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
8,7lt45fmp,leeps_3,0,48,600,salience_market,FinalResults,2022-09-03 02:06:05.093246+00:00,1,,,11374,5,,1352,"{'A': 2, 'B': 1}","{'A': 1, 'B': 0}",1072,1072,1,2022-09-03 02:25:32.968380+00:00,5,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
1,y0toi78l,leeps_6,0,48,600,salience_market,FinalResults,2022-09-03 01:59:08.849080+00:00,1,,,11132,8,,1383,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1383,1328,1,2022-09-03 02:29:53.182423+00:00,6,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
2,bixvhvud,leeps_8,0,48,600,salience_market,FinalResults,2022-09-03 01:59:12.096038+00:00,1,,,11060,7,,1395,"{'A': 3, 'B': 2}","{'A': 3, 'B': 2}",915,915,1,2022-09-03 02:29:53.182423+00:00,6,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
3,xhmofnk9,leeps_7,0,48,600,salience_market,FinalResults,2022-09-03 01:59:17.037553+00:00,1,,,11335,5,,1400,"{'A': 2, 'B': 2}","{'A': 2, 'B': 1}",1000,925,1,2022-09-03 02:29:53.182423+00:00,6,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
4,r0fkpe3n,leeps_1,0,48,600,salience_market,FinalResults,2022-09-03 01:59:25.201581+00:00,1,,,10698,3,,1303,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1303,1138,1,2022-09-03 02:29:53.182423+00:00,6,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
5,62nui3lo,leeps_2,0,48,600,salience_market,FinalResults,2022-09-03 01:59:44.615647+00:00,1,,,12024,1,,1505,"{'A': 1, 'B': 1}","{'A': 0, 'B': 0}",1305,875,1,2022-09-03 02:29:53.182423+00:00,6,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
6,1mmds1y8,leeps_5,0,48,600,salience_market,FinalResults,2022-09-03 02:01:51.176754+00:00,1,,,11188,6,,1370,"{'A': 3, 'B': 1}","{'A': 2, 'B': 1}",1010,905,1,2022-09-03 02:29:53.182423+00:00,6,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
