participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.settled_assets,player.available_assets,player.settled_cash,player.available_cash,group.id_in_subsession,group.ran_ready_function,subsession.round_number,subsession.period_length,subsession.num_assets,subsession.num_states,subsession.asset_endowments,subsession.cash_endowment,subsession.practice,subsession.x,subsession.G,subsession.L,subsession.p1,subsession.p2,subsession.p3,subsession.state,subsession.final_selected_round,subsession.num_rounds,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
7,l0a5c6pi,leeps_4,0,48,600,salience_market,FinalResults,2022-09-03 02:02:25.776860+00:00,1,,,10789,2,,1462,"{'A': 5, 'B': 8}","{'A': 5, 'B': 8}",102,102,1,2022-09-03 02:29:53.182423+00:00,6,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
8,7lt45fmp,leeps_3,0,48,600,salience_market,FinalResults,2022-09-03 02:06:05.093246+00:00,1,,,11374,4,,1382,"{'A': 2, 'B': 2}","{'A': 1, 'B': 1}",982,982,1,2022-09-03 02:29:53.182423+00:00,6,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
1,y0toi78l,leeps_6,0,48,600,salience_market,FinalResults,2022-09-03 01:59:08.849080+00:00,1,,,11132,2,,1369,"{'A': 1, 'B': 0}","{'A': 0, 'B': 0}",1289,1179,1,2022-09-03 02:34:16.445296+00:00,7,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
2,bixvhvud,leeps_8,0,48,600,salience_market,FinalResults,2022-09-03 01:59:12.096038+00:00,1,,,11060,3,,1425,"{'A': 2, 'B': 2}","{'A': 2, 'B': 1}",1025,1025,1,2022-09-03 02:34:16.445296+00:00,7,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
3,xhmofnk9,leeps_7,0,48,600,salience_market,FinalResults,2022-09-03 01:59:17.037553+00:00,1,,,11335,5,,1400,"{'A': 2, 'B': 2}","{'A': 2, 'B': 1}",1000,925,1,2022-09-03 02:34:16.445296+00:00,7,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
4,r0fkpe3n,leeps_1,0,48,600,salience_market,FinalResults,2022-09-03 01:59:25.201581+00:00,1,,,10698,4,,1331,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1331,1236,1,2022-09-03 02:34:16.445296+00:00,7,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
5,62nui3lo,leeps_2,0,48,600,salience_market,FinalResults,2022-09-03 01:59:44.615647+00:00,1,,,12024,6,,1505,"{'A': 1, 'B': 2}","{'A': 0, 'B': 2}",1185,123,1,2022-09-03 02:34:16.445296+00:00,7,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
6,1mmds1y8,leeps_5,0,48,600,salience_market,FinalResults,2022-09-03 02:01:51.176754+00:00,1,,,11188,7,,1425,"{'A': 2, 'B': 2}","{'A': 1, 'B': 1}",1025,1025,1,2022-09-03 02:34:16.445296+00:00,7,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
7,l0a5c6pi,leeps_4,0,48,600,salience_market,FinalResults,2022-09-03 02:02:25.776860+00:00,1,,,10789,1,,1380,"{'A': 6, 'B': 7}","{'A': 6, 'B': 7}",60,60,1,2022-09-03 02:34:16.445296+00:00,7,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
8,7lt45fmp,leeps_3,0,48,600,salience_market,FinalResults,2022-09-03 02:06:05.093246+00:00,1,,,11374,8,,1365,"{'A': 2, 'B': 1}","{'A': 1, 'B': 0}",1085,925,1,2022-09-03 02:34:16.445296+00:00,7,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
1,y0toi78l,leeps_6,0,48,600,salience_market,FinalResults,2022-09-03 01:59:08.849080+00:00,1,,,11132,2,,1368,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1368,1368,1,2022-09-03 02:38:41.907513+00:00,8,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,5,8,dohz8amv,,,,,0
2,bixvhvud,leeps_8,0,48,600,salience_market,FinalResults,2022-09-03 01:59:12.096038+00:00,1,,,11060,1,,1365,"{'A': 4, 'B': 2}","{'A': 2, 'B': 2}",805,725,1,2022-09-03 02:38:41.907513+00:00,8,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,5,8,dohz8amv,,,,,0
3,xhmofnk9,leeps_7,0,48,600,salience_market,FinalResults,2022-09-03 01:59:17.037553+00:00,1,,,11335,7,,1400,"{'A': 2, 'B': 2}","{'A': 2, 'B': 1}",1000,925,1,2022-09-03 02:38:41.907513+00:00,8,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,5,8,dohz8amv,,,,,0
