"","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._current_page_name","participant.time_started","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.role","player.payoff","player.settled_assets","player.available_assets","player.settled_cash","player.available_cash","group.id_in_subsession","group.ran_ready_function","subsession.round_number","subsession.period_length","subsession.num_assets","subsession.num_states","subsession.asset_endowments","subsession.cash_endowment","subsession.practice","subsession.x","subsession.G","subsession.L","subsession.p1","subsession.p2","subsession.p3","subsession.state_independent","subsession.state_a","subsession.state_b","subsession.salient_payoff","subsession.final_selected_round","subsession.num_rounds","session.code","session.label","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo","subsession.asset_type"
"14",6,"i8aoxvpo","leeps_4",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:54.679748+00:00",1,NA,NA,11030,6,NA,1275,"{'A': 1, 'B': 2}","{'A': 1, 'B': 2}",975,895,1,"2022-08-31 02:10:41.187887+00:00",2,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"15",7,"7r1iuu2s","leeps_6",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:59.606920+00:00",1,NA,NA,10544,5,NA,1190,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1190,1135,1,"2022-08-31 02:10:41.187887+00:00",2,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"16",8,"x8nr6xqz","leeps_8",0,48,600,"salience_market","FinalResults","2022-08-31 02:01:45.222358+00:00",1,NA,NA,11443,4,NA,1645,"{'A': 6, 'B': 5}","{'A': 6, 'B': 5}",545,360,1,"2022-08-31 02:10:41.187887+00:00",2,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,2,2,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"17",1,"9yz398oh","leeps_2",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.514315+00:00",1,NA,NA,11102,3,NA,1335,"{'A': 4, 'B': 2}","{'A': 2, 'B': 2}",775,775,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"18",2,"ja1kh7s3","leeps_3",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.854936+00:00",1,NA,NA,11650,2,NA,1450,"{'A': 0, 'B': 1}","{'A': 0, 'B': 0}",1330,1330,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"19",3,"83manlr6","leeps_1",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:43.789261+00:00",1,NA,NA,11276,5,NA,1455,"{'A': 4, 'B': 4}","{'A': 4, 'B': 4}",655,406,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"20",4,"ljjipv4s","leeps_7",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:45.072481+00:00",1,NA,NA,11530,4,NA,1358,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1358,903,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"21",5,"w4r6zk3w","leeps_5",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:50.678216+00:00",1,NA,NA,11025,1,NA,1366,"{'A': 3, 'B': 1}","{'A': 3, 'B': 0}",1006,916,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"22",6,"i8aoxvpo","leeps_4",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:54.679748+00:00",1,NA,NA,11030,8,NA,1380,"{'A': 0, 'B': 1}","{'A': 0, 'B': 0}",1260,900,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"23",7,"7r1iuu2s","leeps_6",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:59.606920+00:00",1,NA,NA,10544,7,NA,1305,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1305,1245,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
